id,date
2606,2021-08-31
2609,2021-09-01
2612,2021-09-02
2616,2021-09-03
2619,2021-09-04
2622,2021-09-05
2626,2021-09-06
2629,2021-09-07
2632,2021-09-08
2635,2021-09-09
2640,2021-09-10
2643,2021-09-11
2646,2021-09-12
2650,2021-09-13
2653,2021-09-14
2656,2021-09-15
2660,2021-09-16
2663,2021-09-17
2666,2021-09-18
2669,2021-09-19
2673,2021-09-20
2676,2021-09-21
2679,2021-09-22
2683,2021-09-23
2686,2021-09-24
2689,2021-09-25
2693,2021-09-26
2696,2021-09-27
2699,2021-09-28
2702,2021-09-29
2706,2021-09-30
2709,2021-10-01
2712,2021-10-02
2716,2021-10-03
2719,2021-10-04
2722,2021-10-05
2726,2021-10-06
2729,2021-10-07
2732,2021-10-08
2735,2021-10-09
2739,2021-10-10
2742,2021-10-11
2745,2021-10-12
2750,2021-10-13
2753,2021-10-14
2756,2021-10-15
2760,2021-10-16
2763,2021-10-17
2766,2021-10-18
2769,2021-10-19
2773,2021-10-20
2776,2021-10-21
2779,2021-10-22
2783,2021-10-23
2786,2021-10-24
2789,2021-10-25
2793,2021-10-26
2796,2021-10-27
2799,2021-10-28
2802,2021-10-29
2806,2021-10-30
2809,2021-10-31
2812,2021-11-01
2816,2021-11-02
2819,2021-11-03
2822,2021-11-04
2826,2021-11-05
2829,2021-11-06
2832,2021-11-07
2835,2021-11-08
2839,2021-11-09
2842,2021-11-10
2845,2021-11-11
2849,2021-11-12
2852,2021-11-13
2855,2021-11-14
1721,2021-11-15
1724,2021-11-16
1727,2021-11-17
1730,2021-11-18
1734,2021-11-19
1737,2021-11-20
1740,2021-11-21
1744,2021-11-22
1747,2021-11-23
1750,2021-11-24
1754,2021-11-25
1757,2021-11-26
1760,2021-11-27
1763,2021-11-28
1767,2021-11-29
1770,2021-11-30
1773,2021-12-01
1777,2021-12-02
1780,2021-12-03
1783,2021-12-04
1787,2021-12-05
1790,2021-12-06
1793,2021-12-07
1796,2021-12-08
1800,2021-12-09
1803,2021-12-10
1806,2021-12-11
1810,2021-12-12
1813,2021-12-13
1816,2021-12-14
1820,2021-12-15
1823,2021-12-16
1826,2021-12-17
1829,2021-12-18
1834,2021-12-19
1837,2021-12-20
1840,2021-12-21
1844,2021-12-22
1847,2021-12-23
1850,2021-12-24
1854,2021-12-25
1857,2021-12-26
1860,2021-12-27
1863,2021-12-28
1867,2021-12-29
1870,2021-12-30
1873,2021-12-31
1877,2022-01-01
1973,2022-01-02
2304,2022-01-03
2637,2022-01-04
1831,2022-01-05
1907,2022-01-06
1939,2022-01-07
1972,2022-01-08
2006,2022-01-09
2039,2022-01-10
2072,2022-01-11
2106,2022-01-12
2139,2022-01-13
2171,2022-01-14
2205,2022-01-15
2238,2022-01-16
2271,2022-01-17
2303,2022-01-18
2337,2022-01-19
2370,2022-01-20
2403,2022-01-21
2437,2022-01-22
2481,2022-01-23
2525,2022-01-24
2570,2022-01-25
2614,2022-01-26
2659,2022-01-27
2703,2022-01-28
2747,2022-01-29
2792,2022-01-30
2836,2022-01-31
1742,2022-02-01
1786,2022-02-02
1830,2022-02-03
1875,2022-02-04
1882,2022-02-05
1887,2022-02-06
1891,2022-02-07
1895,2022-02-08
1900,2022-02-09
1904,2022-02-10
1909,2022-02-11
1912,2022-02-12
1916,2022-02-13
1921,2022-02-14
1925,2022-02-15
1930,2022-02-16
1934,2022-02-17
1938,2022-02-18
1943,2022-02-19
1947,2022-02-20
1952,2022-02-21
1956,2022-02-22
1960,2022-02-23
1965,2022-02-24
1969,2022-02-25
1975,2022-02-26
1979,2022-02-27
1983,2022-02-28
1988,2022-03-01
1993,2022-03-02
1998,2022-03-03
2002,2022-03-04
2007,2022-03-05
2011,2022-03-06
2015,2022-03-07
2020,2022-03-08
2024,2022-03-09
2029,2022-03-10
2033,2022-03-11
2036,2022-03-12
2040,2022-03-13
2043,2022-03-14
2046,2022-03-15
2049,2022-03-16
2053,2022-03-17
2056,2022-03-18
2059,2022-03-19
2063,2022-03-20
2066,2022-03-21
2069,2022-03-22
2073,2022-03-23
2076,2022-03-24
2079,2022-03-25
2082,2022-03-26
2087,2022-03-27
2090,2022-03-28
2093,2022-03-29
2097,2022-03-30
2100,2022-03-31
2103,2022-04-01
2107,2022-04-02
2110,2022-04-03
2113,2022-04-04
2116,2022-04-05
2120,2022-04-06
2123,2022-04-07
2126,2022-04-08
2130,2022-04-09
2133,2022-04-10
2136,2022-04-11
2140,2022-04-12
2143,2022-04-13
2148,2022-04-15
2152,2022-04-16
2155,2022-04-17
2158,2022-04-18
2162,2022-04-19
2165,2022-04-20
2168,2022-04-21
2172,2022-04-22
2175,2022-04-23
2178,2022-04-24
2181,2022-04-25
2185,2022-04-26
2188,2022-04-27
2191,2022-04-28
2196,2022-04-29
2199,2022-04-30
2202,2022-05-01
2206,2022-05-02
2209,2022-05-03
2212,2022-05-04
2215,2022-05-05
2219,2022-05-06
2222,2022-05-07
2225,2022-05-08
2229,2022-05-09
2232,2022-05-10
2235,2022-05-11
2239,2022-05-12
2242,2022-05-13
2245,2022-05-14
2248,2022-05-15
2252,2022-05-16
2255,2022-05-17
2258,2022-05-18
2262,2022-05-19
2265,2022-05-20
2268,2022-05-21
2272,2022-05-22
2278,2022-05-24
2281,2022-05-25
2275,2022-05-26
2287,2022-05-27
2290,2022-05-28
2294,2022-05-29
2297,2022-05-30
2300,2022-05-31
2305,2022-06-01
2308,2022-06-02
2311,2022-06-03
2314,2022-06-04
2318,2022-06-05
2321,2022-06-06
2324,2022-06-07
2328,2022-06-08
2331,2022-06-09
2334,2022-06-10
2338,2022-06-11
2341,2022-06-12
2344,2022-06-13
2347,2022-06-14
2351,2022-06-15
2354,2022-06-16
2357,2022-06-17
2361,2022-06-18
2364,2022-06-19
2367,2022-06-20
2371,2022-06-21
2374,2022-06-22
2377,2022-06-23
2380,2022-06-24
2384,2022-06-25
2387,2022-06-26
2390,2022-06-27
2394,2022-06-28
2397,2022-06-29
2400,2022-06-30
2404,2022-07-01
2407,2022-07-02
2410,2022-07-03
2413,2022-07-04
2418,2022-07-05
2421,2022-07-06
2424,2022-07-07
2428,2022-07-08
2431,2022-07-09
2434,2022-07-10
2438,2022-07-11
2441,2022-07-12
2444,2022-07-13
2447,2022-07-14
2451,2022-07-15
2454,2022-07-16
2457,2022-07-17
2461,2022-07-18
2464,2022-07-19
2467,2022-07-20
2471,2022-07-21
2474,2022-07-22
2477,2022-07-23
2480,2022-07-24
2484,2022-07-25
2487,2022-07-26
2490,2022-07-27
2494,2022-07-28
2497,2022-07-29
2500,2022-07-30
2504,2022-07-31
2507,2022-08-01
2510,2022-08-02
2513,2022-08-03
2517,2022-08-04
2520,2022-08-05
2523,2022-08-06
2528,2022-08-07
2531,2022-08-08
2534,2022-08-09
2538,2022-08-10
2541,2022-08-11
2544,2022-08-12
2547,2022-08-13
2551,2022-08-14
2554,2022-08-15
2557,2022-08-16
2561,2022-08-17
2564,2022-08-18
2567,2022-08-19
2571,2022-08-20
2574,2022-08-21
2577,2022-08-22
2580,2022-08-23
2584,2022-08-24
2587,2022-08-25
2590,2022-08-26
2594,2022-08-27
2597,2022-08-28
2600,2022-08-29
